"ts"	"event_type"	"SID"	"ECID"	"session"	"game_type"	"game_number"	"episode_number"	"level"	"score"	"lines_cleared"	"completed"	"game_duration"	"avg_ep_duration"	"zoid_sequence"	"criterion"	"crit_game"	"study"
"1"	668.113750786	"GAME_SUMM"	"101"	"NIL"	"2013_6_6_12-23-50"	"pop_assessment"	1	113	3	4006	31	NA	589.6158935422	5.21783976586018	"[\O\,\S\,\O\,\J\,\S\,\O\,\J\,\T\,\L\,\T\,\L\,\O\,\Z\,\S\,\L\,\I\,\S\,\O\,\L\,\I\,\Z\,\L\,\J\,\S\,\J\,\I\,\J\,\O\,\L\,\O\,\J\,\S\,\Z\,\T\,\O\,\J\,\O\,\L\,\S\,\J\,\S\,\Z\,\L\,\O\,\J\,\O\,\Z\,\T\,\I\,\T\,\L\,\I\,\Z\,\L\,\T\,\J\,\Z\,\L\,\S\,\T\,\O\,\I\,\T\,\I\,\I\,\L\,\S\,\I\,\O\,\T\,\L\,\I\,\T\,\O\,\J\,\Z\,\T\,\S\,\T\,\Z\,\S\,\J\,\T\,\Z\,\I\,\L\,\Z\,\S\,\I\,\I\,\O\,\S\,\Z\,\T\,\Z\,\O\,\I\,\T\,\I\,\O\,\L\,\Z\,\J\,\Z\,\S\,\T\,\T\,\I\,\O\,\J\,\O\,\S\,\T\,\L\]"	6042	TRUE	"TS1"
"2"	958.88388287	"GAME_SUMM"	"101"	"NIL"	"2013_6_6_12-23-50"	"pop_assessment"	2	58	0	677	7	NA	280.504167323	4.83627874694827	"[\I\,\L\,\I\,\S\,\Z\,\T\,\O\,\T\,\S\,\L\,\I\,\T\,\I\,\Z\,\J\,\Z\,\I\,\T\,\O\,\J\,\L\,\Z\,\L\,\Z\,\O\,\Z\,\T\,\Z\,\J\,\Z\,\I\,\O\,\T\,\I\,\Z\,\L\,\J\,\S\,\L\,\S\,\I\,\T\,\L\,\T\,\O\,\S\,\Z\,\T\,\I\,\Z\,\I\,\O\,\O\,\J\,\S\,\O\,\L\,\I\,\O\]"	6042	FALSE	"TS1"
"3"	1829.48808954	"GAME_SUMM"	"101"	"NIL"	"2013_6_6_12-23-50"	"pop_assessment"	3	201	6	13565	68	NA	849.775757679	4.22774008795522	"[\T\,\L\,\I\,\O\,\S\,\L\,\O\,\S\,\L\,\I\,\O\,\I\,\J\,\I\,\O\,\J\,\O\,\I\,\O\,\T\,\S\,\T\,\S\,\I\,\T\,\Z\,\I\,\L\,\J\,\L\,\S\,\Z\,\I\,\J\,\I\,\Z\,\T\,\Z\,\T\,\O\,\L\,\J\,\S\,\T\,\Z\,\J\,\O\,\I\,\L\,\L\,\J\,\Z\,\I\,\J\,\Z\,\S\,\Z\,\S\,\J\,\T\,\Z\,\J\,\L\,\S\,\T\,\O\,\T\,\S\,\Z\,\O\,\O\,\Z\,\T\,\Z\,\S\,\Z\,\L\,\T\,\Z\,\S\,\O\,\I\,\T\,\T\,\L\,\O\,\Z\,\O\,\T\,\L\,\I\,\S\,\O\,\L\,\O\,\Z\,\J\,\O\,\S\,\I\,\Z\,\Z\,\L\,\Z\,\I\,\Z\,\I\,\T\,\J\,\I\,\O\,\S\,\O\,\I\,\J\,\Z\,\S\,\J\,\I\,\L\,\I\,\O\,\Z\,\I\,\L\,\Z\,\S\,\O\,\L\,\S\,\J\,\I\,\S\,\I\,\J\,\O\,\Z\,\T\,\S\,\Z\,\L\,\J\,\S\,\Z\,\I\,\L\,\I\,\O\,\I\,\Z\,\L\,\S\,\Z\,\I\,\S\,\L\,\O\,\Z\,\S\,\Z\,\S\,\L\,\I\,\J\,\T\,\O\,\I\,\L\,\O\,\I\,\O\,\S\,\L\,\Z\,\L\,\L\,\T\,\J\,\O\,\T\,\J\,\J\,\I\,\S\,\O\,\T\,\O\,\S\,\J\,\Z\,\S\,\O\,\I\,\T\,\S\,\L\,\J\,\I\,\J\,\Z\,\S\,\Z\]"	6042	TRUE	"TS1"
"4"	2215.28836914	"GAME_SUMM"	"101"	"NIL"	"2013_6_6_12-23-50"	"pop_assessment"	4	73	1	1536	16	NA	370.53473955	5.07581835	"[\T\,\I\,\Z\,\O\,\S\,\J\,\L\,\I\,\J\,\I\,\L\,\J\,\T\,\O\,\T\,\I\,\L\,\T\,\J\,\S\,\T\,\Z\,\J\,\J\,\O\,\Z\,\J\,\T\,\I\,\T\,\Z\,\T\,\O\,\L\,\O\,\J\,\I\,\S\,\T\,\J\,\L\,\I\,\J\,\I\,\J\,\T\,\J\,\I\,\T\,\Z\,\J\,\Z\,\I\,\Z\,\I\,\T\,\O\,\T\,\J\,\O\,\J\,\O\,\S\,\O\,\J\,\L\,\T\,\T\,\Z\,\L\,\J\,\Z\,\T\,\O\]"	6042	FALSE	"TS1"
"5"	2742.9994053	"GAME_SUMM"	"101"	"NIL"	"2013_6_6_12-23-50"	"pop_assessment"	5	110	2	3453	29	NA	512.03649777	4.65487725245455	"[\Z\,\I\,\O\,\I\,\S\,\I\,\J\,\I\,\T\,\Z\,\L\,\S\,\T\,\J\,\J\,\I\,\J\,\O\,\T\,\J\,\O\,\J\,\T\,\L\,\O\,\L\,\O\,\J\,\L\,\J\,\T\,\O\,\I\,\T\,\Z\,\O\,\J\,\J\,\L\,\S\,\Z\,\Z\,\S\,\J\,\Z\,\O\,\Z\,\J\,\S\,\O\,\J\,\L\,\T\,\I\,\S\,\O\,\T\,\L\,\Z\,\S\,\T\,\O\,\J\,\I\,\L\,\O\,\L\,\O\,\L\,\L\,\O\,\J\,\T\,\L\,\S\,\T\,\J\,\Z\,\L\,\T\,\Z\,\I\,\S\,\T\,\L\,\I\,\J\,\O\,\L\,\S\,\L\,\J\,\S\,\T\,\O\,\T\,\L\,\Z\,\S\,\Z\,\S\,\T\,\Z\,\J\,\S\,\Z\,\J\,\L\,\T\,\L\,\T\]"	6042	TRUE	"TS1"
"6"	3192.50356433	"GAME_SUMM"	"101"	"NIL"	"2013_6_6_12-23-50"	"pop_assessment"	6	104	2	3145	26	NA	433.76989002	4.17086432711538	"[\L\,\S\,\J\,\L\,\I\,\I\,\J\,\O\,\Z\,\S\,\J\,\Z\,\I\,\T\,\Z\,\O\,\S\,\I\,\J\,\L\,\I\,\J\,\T\,\S\,\O\,\I\,\S\,\Z\,\J\,\L\,\J\,\Z\,\S\,\L\,\I\,\Z\,\L\,\S\,\S\,\S\,\T\,\T\,\Z\,\T\,\I\,\Z\,\J\,\Z\,\L\,\S\,\O\,\S\,\Z\,\S\,\J\,\L\,\L\,\S\,\I\,\S\,\T\,\O\,\I\,\T\,\S\,\T\,\S\,\I\,\J\,\I\,\L\,\T\,\S\,\L\,\T\,\L\,\Z\,\Z\,\J\,\S\,\Z\,\O\,\T\,\I\,\O\,\T\,\I\,\L\,\S\,\O\,\T\,\Z\,\L\,\S\,\T\,\O\,\J\,\I\,\O\,\S\,\Z\,\S\,\T\,\O\]"	6042	TRUE	"TS1"
"7"	3547.30445311	"GAME_SUMM"	"101"	"NIL"	"2013_6_6_12-23-50"	"pop_assessment"	7	86	1	1738	19	NA	333.79922364	3.88138632139535	"[\Z\,\S\,\T\,\L\,\J\,\I\,\J\,\I\,\J\,\T\,\Z\,\I\,\J\,\O\,\Z\,\L\,\Z\,\I\,\Z\,\I\,\Z\,\T\,\L\,\S\,\Z\,\O\,\S\,\O\,\Z\,\I\,\O\,\J\,\Z\,\L\,\T\,\L\,\I\,\L\,\I\,\Z\,\T\,\I\,\J\,\L\,\J\,\S\,\J\,\S\,\T\,\Z\,\J\,\T\,\Z\,\Z\,\I\,\L\,\T\,\Z\,\Z\,\O\,\T\,\J\,\L\,\I\,\T\,\Z\,\O\,\T\,\O\,\S\,\Z\,\I\,\I\,\L\,\Z\,\O\,\L\,\Z\,\S\,\Z\,\J\,\S\,\I\,\I\,\O\,\S\,\T\]"	6042	FALSE	"TS1"
"8"	3678.30782974	"GAME_SUMM"	"101"	"NIL"	"2013_6_6_12-23-50"	"pop_assessment"	8	26	0	452	3	NA	113.62669344	4.37025744	"[\T\,\J\,\L\,\S\,\I\,\Z\,\J\,\T\,\O\,\T\,\O\,\Z\,\L\,\O\,\L\,\Z\,\O\,\Z\,\J\,\L\,\S\,\I\,\J\,\L\,\T\,\J\,\L\]"	6042	FALSE	"TS1"
"9"	587.611790783	"GAME_SUMM"	"102"	"NIL"	"2013_6_7_12-14-29"	"pop_assessment"	1	143	4	7279	44	NA	400.505232878	2.80073589425175	"[\O\,\S\,\O\,\J\,\S\,\O\,\J\,\T\,\L\,\T\,\L\,\O\,\Z\,\S\,\L\,\I\,\S\,\O\,\L\,\I\,\Z\,\L\,\J\,\S\,\J\,\I\,\J\,\O\,\L\,\O\,\J\,\S\,\Z\,\T\,\O\,\J\,\O\,\L\,\S\,\J\,\S\,\Z\,\L\,\O\,\J\,\O\,\Z\,\T\,\I\,\T\,\L\,\I\,\Z\,\L\,\T\,\J\,\Z\,\L\,\S\,\T\,\O\,\I\,\T\,\I\,\I\,\L\,\S\,\I\,\O\,\T\,\L\,\I\,\T\,\O\,\J\,\Z\,\T\,\S\,\T\,\Z\,\S\,\J\,\T\,\Z\,\I\,\L\,\Z\,\S\,\I\,\I\,\O\,\S\,\Z\,\T\,\Z\,\O\,\I\,\T\,\I\,\O\,\L\,\Z\,\J\,\Z\,\S\,\T\,\T\,\I\,\O\,\J\,\O\,\S\,\T\,\L\,\O\,\S\,\J\,\L\,\I\,\S\,\O\,\O\,\L\,\Z\,\L\,\L\,\T\,\J\,\J\,\S\,\L\,\S\,\S\,\O\,\I\,\T\,\J\,\T\,\S\,\L\,\S\,\S\,\L\,\Z\]"	17814	FALSE	"TS1"
"10"	1082.18050028	"GAME_SUMM"	"102"	"NIL"	"2013_6_7_12-14-29"	"pop_assessment"	2	170	5	10547	53	NA	486.116083902	2.85950637589412	"[\I\,\L\,\I\,\S\,\Z\,\T\,\O\,\T\,\S\,\L\,\I\,\T\,\I\,\Z\,\J\,\Z\,\I\,\T\,\O\,\J\,\L\,\Z\,\L\,\Z\,\O\,\Z\,\T\,\Z\,\J\,\Z\,\I\,\O\,\T\,\I\,\Z\,\L\,\J\,\S\,\L\,\S\,\I\,\T\,\L\,\T\,\O\,\S\,\Z\,\T\,\I\,\Z\,\I\,\O\,\O\,\J\,\S\,\O\,\L\,\I\,\O\,\L\,\J\,\I\,\L\,\S\,\J\,\O\,\Z\,\O\,\S\,\J\,\I\,\J\,\S\,\J\,\Z\,\T\,\Z\,\S\,\I\,\O\,\Z\,\I\,\Z\,\I\,\S\,\Z\,\I\,\O\,\J\,\Z\,\I\,\Z\,\T\,\Z\,\J\,\I\,\Z\,\I\,\S\,\O\,\L\,\T\,\S\,\T\,\Z\,\J\,\S\,\L\,\T\,\S\,\J\,\I\,\Z\,\L\,\J\,\S\,\T\,\O\,\T\,\J\,\J\,\I\,\T\,\I\,\L\,\I\,\Z\,\J\,\O\,\J\,\Z\,\S\,\O\,\T\,\S\,\T\,\S\,\L\,\J\,\J\,\L\,\J\,\L\,\S\,\Z\,\S\,\Z\,\S\,\L\,\T\,\J\,\L\,\T\,\Z\,\J\,\O\,\Z\,\L\,\S\,\O\,\Z\,\L\,\S\,\O\,\I\,\Z\,\J\,\Z\,\O\,\T\,\O\]"	17814	TRUE	"TS1"
